No, Arrival time, AE channel, Amplitude, Counts, Duration, Energy, Rise counts, Rise Time
      96,20:17:22:36:583:602700, 1,     64.2,     132,     2706,       0.026,      20,    317.0
      97,20:17:22:37:033:546200, 3,     97.5,     143,     2995,      22.080,       2,     10.0
      98,20:17:22:37:033:581300, 2,     62.7,      94,     1888,       0.015,      17,    139.0
      99,20:17:22:37:033:583100, 6,     71.8,     140,     2513,       0.058,      10,     72.0
     100,20:17:22:37:033:583200, 4,     60.3,      96,     2037,       0.007,      11,    170.0
     101,20:17:22:37:033:591700, 7,     55.8,      57,      706,       0.001,      16,    172.0
     102,20:17:22:37:033:592500, 5,     69.4,     140,     2401,       0.090,       5,     35.0
     103,20:17:22:37:033:592500, 8,     69.6,     144,     2791,       0.068,      26,    292.0
     104,20:17:22:37:033:602700, 1,     64.2,     131,     2706,       0.026,      20,    317.0
     105,20:17:22:37:483:546100, 3,     97.5,     141,     2994,      22.079,       2,     10.0
     106,20:17:22:37:483:581200, 2,     62.7,      97,     2102,       0.015,      17,    139.0
     107,20:17:22:37:483:583100, 6,     71.8,     145,     2513,       0.058,      10,     72.0
     108,20:17:22:37:483:583200, 4,     60.3,      97,     2064,       0.007,      11,    170.0
     109,20:17:22:37:483:591600, 7,     55.7,      59,      706,       0.001,      16,    172.0
     110,20:17:22:37:483:592400, 8,     69.6,     154,     2791,       0.068,      26,    292.0
     111,20:17:22:37:483:592500, 5,     69.5,     139,     2401,       0.090,       5,     35.0
     112,20:17:22:37:483:602500, 1,     64.2,     133,     2705,       0.026,      20,    317.0
     113,20:17:22:37:933:546000, 3,     97.4,     142,     2995,      22.077,       2,     10.0
     114,20:17:22:37:933:581200, 2,     62.7,      94,     1888,       0.015,      18,    139.0
     115,20:17:22:37:933:583000, 4,     60.2,      80,     2037,       0.007,      12,    170.0
     116,20:17:22:37:933:583000, 6,     71.8,     143,     2512,       0.058,      10,     71.0
     117,20:17:22:37:933:592300, 8,     69.7,     146,     2790,       0.068,      26,    292.0
     118,20:17:22:37:933:592500, 5,     69.4,     133,     2401,       0.090,       5,     34.0
     119,20:17:22:37:933:595500, 7,     53.0,      57,      819,       0.001,       5,     42.0
     120,20:17:22:37:933:602400, 1,     64.2,     137,     2706,       0.026,      20,    317.0
     121,20:17:22:38:425:548600, 4,     97.5,      49,     1951,      11.811,       2,     11.0
     122,20:17:22:38:425:575100, 3,     63.2,     125,     2061,       0.012,      12,    169.0
     123,20:17:22:38:425:581400, 2,     60.4,      87,     1700,       0.006,       8,     70.0
     124,20:17:22:38:425:581500, 6,     61.6,     104,     1883,       0.010,       6,     50.0
     125,20:17:22:38:425:583900, 7,     54.7,      48,      683,       0.001,      18,    152.0
     126,20:17:22:38:425:593200, 8,     63.8,     103,     1898,       0.019,      24,    237.0
     127,20:17:22:38:425:595400, 5,     62.9,     115,     1783,       0.011,      21,    165.0
     128,20:17:22:38:425:605800, 1,     62.7,     102,     1471,       0.007,      21,    198.0
     129,20:17:22:38:875:548600, 4,     97.3,      54,     1950,      11.832,       2,     10.0
     130,20:17:22:38:875:575000, 3,     63.2,     113,     2061,       0.012,      12,    169.0
     131,20:17:22:38:875:581400, 2,     60.4,      83,     1700,       0.006,       8,     70.0
     132,20:17:22:38:875:581500, 6,     61.5,     109,     1884,       0.010,       6,     50.0
     133,20:17:22:38:875:586800, 7,     54.7,      46,      676,       0.001,      13,    103.0
     134,20:17:22:38:875:593100, 8,     63.8,     105,     1898,       0.019,      23,    237.0
     135,20:17:22:38:875:595400, 5,     62.9,     116,     1783,       0.011,      21,    165.0
